# Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
883067	Actinobaculum schaalii FB123-CNA-2	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Actinomycineae,Actinomycetaceae,Actinobaculum,Actinobaculum schaalii,Actinobaculum schaalii FB123-CNA-2	1,131567,2,201174,1760,85003,2037,85005,2049,76833,59505,883067
1224318	Mangrovibacter sp. MFB070	species	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Mangrovibacter,Mangrovibacter sp. MFB070	1,131567,2,1224,1236,91347,543,451512,1224318
2110	Mycoplasma agalactiae	species	root,cellular organisms,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma agalactiae	1,131567,2,544448,31969,2085,2092,2093,2110
2113	Mycoplasma californicum	species	root,cellular organisms,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma californicum	1,131567,2,544448,31969,2085,2092,2093,2113
673860	Aciduliprofundum sp. MAR08-339	species	root,cellular organisms,Archaea,Euryarchaeota,unclassified Euryarchaeota,Aciduliprofundum,Aciduliprofundum sp. MAR08-339	1,131567,2157,28890,33867,379546,673860
1300150	Enterococcus mundtii QU 25	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus mundtii,Enterococcus mundtii QU 25	1,131567,2,1239,91061,186826,81852,1350,53346,1300150
673862	Candidatus Babela massiliensis	species	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,unclassified Deltaproteobacteria,Candidatus Babela,Candidatus Babela massiliensis	1,131567,2,1224,68525,28221,45456,1551504,673862
59463	Myotis lucifugus	species	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,Myotis,Myotis lucifugus	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314145,9397,30560,9431,9434,59463
698440	Marssonina brunnea	species	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Helotiales,Dermateaceae,Marssonina,Marssonina brunnea	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147548,5178,76657,324777,698440
1380350	Mesorhizobium sp. URHC0008	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium sp. URHC0008	1,131567,2,1224,28211,356,69277,68287,1380350
575564	Acinetobacter sp. RUH2624	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,Acinetobacter nosocomialis,Acinetobacter sp. RUH2624	1,131567,2,1224,1236,72274,468,469,909768,106654,575564
1108045	Gordonia rhizosphera NBRC 16068	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Gordoniaceae,Gordonia,Gordonia rhizosphera,Gordonia rhizosphera NBRC 16068	1,131567,2,201174,1760,85003,2037,85007,85026,2053,83341,1108045
1120934	Actinokineospora enzanensis DSM 44649	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardineae,Pseudonocardiaceae,Actinokineospora,Actinokineospora enzanensis,Actinokineospora enzanensis DSM 44649	1,131567,2,201174,1760,85003,2037,85010,2070,39845,155975,1120934
641107	Clostridium sp. DL-VIII	species	root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. DL-VIII	1,131567,2,1239,186801,186802,31979,1485,641107
436308	Nitrosopumilus maritimus SCM1	no rank	root,cellular organisms,Archaea,Thaumarchaeota,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus maritimus,Nitrosopumilus maritimus SCM1	1,131567,2157,651137,31932,338190,338191,338192,436308
1267211	Sediminibacterium sp. C3	species	root,cellular organisms,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium,Sediminibacterium sp. C3	1,131567,2,68336,976,117747,200666,563835,504481,1267211
157783	Pseudomonas cremoricolorata	species	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas cremoricolorata	1,131567,2,1224,1236,72274,135621,286,157783
641112	Ruminococcus flavefaciens FD-1	no rank	root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus flavefaciens,Ruminococcus flavefaciens FD-1	1,131567,2,1239,186801,186802,541000,1263,1265,641112
481805	Escherichia coli ATCC 8739	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli C,Escherichia coli ATCC 8739	1,131567,2,1224,1236,91347,543,561,562,498388,481805
428125	[Clostridium] leptum DSM 753	no rank	root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,[Clostridium] leptum,[Clostridium] leptum DSM 753	1,131567,2,1239,186801,186802,541000,1508657,1535,428125
428126	[Clostridium] spiroforme DSM 1552	no rank	root,cellular organisms,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,[Clostridium] spiroforme,[Clostridium] spiroforme DSM 1552	1,131567,2,1239,526524,526525,128827,1505663,29348,428126
428127	[Eubacterium] dolichum DSM 3991	no rank	root,cellular organisms,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,unclassified Erysipelotrichaceae,[Eubacterium] dolichum,[Eubacterium] dolichum DSM 3991	1,131567,2,1239,526524,526525,128827,433334,31971,428127
575586	Acinetobacter johnsonii SH046	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,Acinetobacter johnsonii SH046	1,131567,2,1224,1236,72274,468,469,40214,575586
583355	Coraliomargarita akajimensis DSM 45221	no rank	root,cellular organisms,Bacteria,Chlamydiae/Verrucomicrobia group,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita,Coraliomargarita akajimensis,Coraliomargarita akajimensis DSM 45221	1,131567,2,51290,74201,414999,415001,415002,442430,395922,583355
575588	Acinetobacter lwoffii SH145	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter lwoffii,Acinetobacter lwoffii SH145	1,131567,2,1224,1236,72274,468,469,28090,575588
575589	Acinetobacter radioresistens SH164	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter radioresistens,Acinetobacter radioresistens SH164	1,131567,2,1224,1236,72274,468,469,40216,575589
575590	Bacteroidetes oral taxon 274 str. F0058	no rank	root,cellular organisms,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,unclassified Bacteroidetes,unclassified Bacteroidetes (miscellaneous),Bacteroidetes oral taxon 274,Bacteroidetes oral taxon 274 str. F0058	1,131567,2,68336,976,171558,37452,652708,575590
575593	Lachnospiraceae oral taxon 107 str. F0167	no rank	root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae,Lachnospiraceae oral taxon 107,Lachnospiraceae oral taxon 107 str. F0167	1,131567,2,1239,186801,186802,186803,186928,652712,575593
